nb_shards,nb_requests,accuracy,retraining_time
10,0,0.9488796866974833,18.426553964614868
10,1,0.4199248844375963,0
10,2,0.4199248844375963,0
10,3,0.4199248844375963,0
10,4,0.4199248844375963,0
10,5,0.4199248844375963,0
10,6,0.4199248844375963,0
10,7,0.4199248844375963,0
10,8,0.4199248844375963,0
10,9,0.4199248844375963,0
10,10,0.9488796866974833,0
10,11,0.9488796866974833,0
10,12,0.9488796866974833,1.3130886554718018
10,13,0.9489117873651772,2.172088861465454
10,14,0.9488796866974833,2.672346353530884
10,15,0.9488796866974833,1.8961281776428225
10,16,0.9488957370313302,2.141126871109009
10,17,0.9488957370313302,2.2152464389801025
10,18,0.9488957370313302,2.684856653213501
10,19,0.9488957370313302,2.7094898223876958
10,20,0.9488796866974833,20.43478560447693
